words,links,capital_words,spam_word_count,is_spam
97,1,2,0,0
792,2,18,3,1
175,2,3,1,0
176,8,24,1,1
294,0,2,5,0
197,0,1,6,0
185,0,3,1,0
76,1,2,0,0
151,9,23,6,1
275,9,3,5,1
272,10,8,4,1
249,7,6,3,1
159,2,6,8,1
344,8,14,4,1
217,2,1,2,0
699,2,24,5,1
75,0,0,2,0
383,4,15,5,1
487,0,2,1,0
405,5,4,9,1
440,1,3,2,0
166,0,22,7,1
124,2,29,5,1
168,4,13,2,1
442,0,23,5,1
116,2,5,0,0
483,0,15,7,1
23,4,2,6,0
212,0,4,0,0
52,2,0,1,0
253,3,18,7,1
482,2,0,2,0
191,2,1,4,1
127,0,3,6,0
420,3,20,1,1
236,1,0,2,0
671,6,18,0,1
121,10,19,0,1
498,3,10,4,1
218,2,2,0,0
149,3,25,6,1
744,10,3,7,1
865,2,27,7,1
178,2,1,2,0
527,4,20,9,1
188,0,0,2,0
283,8,30,1,1
122,9,5,9,1
217,2,1,1,0
352,2,0,5,0
124,9,7,5,1
985,3,10,3,1
295,1,2,5,0
214,4,19,9,1
276,5,27,2,1
565,7,15,5,1
431,1,18,10,1
112,3,13,7,1
956,9,10,10,1
37,1,2,2,0
278,4,1,3,0
304,1,6,2,0
261,1,3,0,0
212,4,3,0,0
267,1,4,1,0
128,0,0,0,0
652,2,9,6,1
191,10,25,3,1
137,2,0,0,0
612,8,28,9,1
802,2,15,3,1
68,8,2,8,1
196,0,1,0,0
400,0,0,1,0
597,7,16,3,1
66,1,1,1,0
547,3,2,3,1
319,1,3,2,0
256,4,3,8,1
89,2,1,0,0
205,7,13,7,1
457,2,1,2,0
132,3,9,9,1
464,7,9,9,1
48,0,1,5,0
438,7,5,6,1
994,9,20,1,1
50,1,1,0,0
679,7,14,7,1
103,4,0,2,0
279,6,10,7,1
629,4,8,3,1
59,2,13,9,1
456,7,24,9,1
640,3,16,2,1
96,1,2,6,0
80,9,8,8,1
409,10,25,4,1
57,1,2,4,0
247,1,1,4,0
373,4,1,3,0
80,3,1,0,0
123,7,3,3,1
255,1,2,0,0
204,0,3,1,0
210,0,10,0,0
125,8,28,4,1
227,1,0,4,0
73,9,5,0,1
244,2,2,4,0
28,1,2,0,0
718,7,26,3,1
259,0,3,1,0
638,5,22,3,1
737,2,22,1,1
629,9,21,1,1
200,0,6,10,1
146,0,3,0,0
28,1,2,2,0
65,2,2,2,0
130,1,2,2,0
196,10,1,8,1
187,2,4,3,0
955,5,11,5,1
188,2,2,1,0
46,1,2,0,0
684,0,19,2,1
197,9,6,3,1
323,9,20,7,1
198,5,27,0,1
97,2,6,8,1
909,8,13,7,1
267,5,2,1,0
155,9,30,1,1
111,2,7,3,1
106,7,11,1,1
776,3,30,3,1
325,6,3,8,1
183,5,24,9,1
501,7,7,5,1
295,2,2,1,0
140,0,3,2,0
982,6,8,8,1
56,2,3,0,0
287,2,4,0,0
958,7,26,7,1
786,8,9,0,1
715,8,14,7,1
297,5,6,2,1
799,9,1,8,1
531,4,10,1,1
231,1,3,6,0
806,7,19,3,1
133,4,23,3,1
429,1,3,4,0
333,2,2,4,0
181,2,12,2,1
990,3,24,7,1
208,5,3,0,0
85,5,1,1,0
184,4,1,2,0
79,0,8,6,0
194,2,2,4,0
986,5,27,5,1
234,2,5,1,0
256,2,8,10,1
293,2,0,1,0
930,4,13,3,1
130,2,0,0,0
928,6,10,9,1
60,6,7,8,1
399,0,3,2,0
167,0,0,1,0
107,10,11,1,1
97,0,0,0,0
451,10,30,6,1
167,5,3,4,0
396,8,24,2,1
184,2,1,1,0
318,2,3,0,0
170,1,2,0,0
523,7,18,7,1
721,3,27,3,1
280,2,2,2,0
869,2,18,1,1
941,5,16,4,1
56,1,2,2,0
282,0,5,6,0
178,1,2,2,0
289,9,4,10,1
898,2,3,7,1
881,2,15,6,1
523,2,12,4,1
281,2,1,1,0
158,10,26,4,1
141,1,2,1,0
167,2,3,4,0
208,4,1,2,0
277,2,1,1,0
232,10,26,3,1
177,10,6,3,1
240,0,0,2,0
312,2,2,2,0
97,2,2,2,0
268,0,2,1,0
809,2,5,6,1
40,2,1,1,0
62,0,1,1,0
718,5,11,9,1
951,8,8,6,1
122,4,0,4,0
26,1,2,3,0
112,3,12,3,1
81,1,1,2,0
250,2,0,1,0
168,0,0,1,0
326,1,0,1,0
198,3,22,10,1
219,1,8,0,0
223,2,1,2,0
120,0,17,6,1
397,1,1,2,0
504,8,6,4,1
793,3,20,3,1
135,3,23,9,1
776,7,28,7,1
86,5,27,8,1
127,2,10,1,0
962,8,5,5,1
153,2,0,4,0
30,0,1,1,0
448,2,11,0,1
140,2,0,1,0
999,3,2,9,1
73,3,1,0,0
68,0,0,2,0
246,1,2,4,0
190,9,22,8,1
545,4,4,8,1
97,8,9,4,1
170,2,2,2,0
478,0,9,9,1
115,2,6,0,1
236,2,1,2,0
204,3,1,2,0
54,2,11,5,1
66,1,10,2,0
158,6,19,1,1
224,5,7,0,0
81,0,9,1,0
238,1,6,2,0
212,2,3,1,0
607,9,11,1,1
428,3,25,0,1
379,3,14,10,1
239,0,1,2,0
242,1,1,3,0
975,5,27,5,1
231,1,2,6,0
651,9,11,10,1
147,5,0,2,0
37,1,3,2,0
816,0,28,10,1
379,0,3,2,0
892,7,3,4,1
472,9,20,1,1
972,8,1,8,1
129,1,3,4,0
269,1,3,3,0
70,2,7,2,0
71,1,24,9,1
69,4,1,3,0
736,5,29,9,1
955,6,10,8,1
165,1,1,2,0
266,1,3,2,0
906,2,2,2,1
503,5,20,6,1
302,2,2,2,0
927,1,21,5,1
163,2,3,0,0
190,4,5,3,1
114,4,2,1,0
186,6,12,4,1
433,1,2,2,0
149,1,3,2,0
214,1,2,3,0
180,0,25,10,1
749,2,0,4,1
240,1,1,1,0
763,6,1,3,1
962,10,8,3,1
640,5,4,5,1
179,9,29,3,1
755,9,6,6,1
604,5,23,8,1
163,2,3,2,0
225,3,2,1,0
123,3,2,2,0
21,0,1,2,0
906,7,6,1,1
71,6,14,5,1
222,2,0,2,0
468,0,0,0,0
230,0,2,5,0
173,10,22,8,1
225,4,10,2,0
226,5,8,2,0
210,2,1,0,0
903,5,5,3,1
130,3,3,1,0
190,10,1,4,1
943,7,30,4,1
951,0,14,5,1
188,2,24,8,1
818,4,11,4,1
213,1,3,0,0
324,0,8,3,0
757,9,30,3,1
209,0,8,1,0
297,2,0,1,0
274,1,1,0,0
87,3,0,2,0
112,1,2,2,0
971,0,13,3,1
78,2,0,2,0
174,6,29,5,1
882,0,0,9,1
935,5,28,6,1
118,1,1,2,0
784,4,19,9,1
148,2,7,1,0
299,8,0,10,1
261,1,2,2,0
799,7,28,5,1
795,5,14,1,1
647,2,11,1,1
212,3,19,7,1
36,0,3,2,0
928,9,5,4,1
865,10,5,6,1
962,2,19,8,1
259,2,0,2,0
188,2,22,6,1
256,0,1,2,0
277,1,1,0,0
153,2,4,0,0
475,1,7,7,1
74,1,3,0,0
429,9,27,9,1
252,2,26,6,1
275,2,26,7,1
271,4,1,0,0
56,9,11,8,1
658,6,27,10,1
166,1,2,0,0
760,10,9,7,1
162,7,30,10,1
679,8,7,10,1
163,5,0,1,0
770,0,15,7,1
100,3,11,8,1
395,10,13,3,1
189,5,5,7,1
53,2,2,2,0
610,8,18,3,1
35,2,3,0,0
145,2,7,2,0
313,1,10,2,0
147,0,0,1,0
153,0,3,2,0
46,2,3,1,0
82,2,0,1,0
141,7,19,3,1
46,2,1,0,0
578,9,21,10,1
863,10,0,7,1
211,0,18,0,1
61,3,0,6,1
201,0,7,2,0
732,10,18,8,1
381,5,3,2,0
142,5,4,10,1
943,10,24,9,1
179,2,10,0,0
993,3,29,3,1
559,10,21,10,1
820,3,20,6,1
48,2,9,1,0
528,7,5,8,1
26,4,1,1,0
213,0,0,2,0
134,4,3,1,0
935,9,17,10,1
68,0,1,2,0
959,5,21,5,1
456,5,13,2,1
354,5,6,4,1
219,4,0,2,0
138,0,3,0,0
112,1,0,6,0
41,2,0,2,0
734,8,22,3,1
154,5,0,2,0
27,2,2,0,0
54,1,3,3,0
143,0,5,8,1
474,4,13,3,1
777,2,5,4,1
88,2,2,0,0
248,10,3,3,1
937,2,10,7,1
285,1,2,1,0
383,1,1,0,0
69,1,1,2,0
489,2,1,0,0
299,7,10,8,1
446,1,0,2,0
252,2,1,1,0
180,8,30,9,1
281,1,1,0,0
256,0,1,1,0
165,1,10,1,0
167,2,17,6,1
874,8,5,8,1
441,0,3,2,0
507,0,21,8,1
140,2,20,3,1
154,2,23,9,1
363,8,9,9,1
161,6,22,3,1
387,0,2,0,0
286,0,9,1,0
260,5,2,2,0
988,6,0,3,1
137,2,30,10,1
788,1,29,5,1
266,1,3,0,0
408,0,24,8,1
725,8,3,9,1
389,2,18,5,1
272,0,1,2,0
681,4,18,10,1
296,10,0,10,1
78,6,17,6,1
227,2,4,1,0
120,5,15,5,1
184,0,18,5,1
241,2,0,2,0
339,2,1,2,0
278,2,7,7,1
31,0,2,5,0
234,1,3,1,0
294,0,1,2,0
403,3,4,4,1
71,5,2,1,0
149,2,0,1,0
540,6,8,8,1
141,0,12,4,1
170,8,23,4,1
150,5,1,7,1
694,5,11,1,1
247,2,0,1,0
289,1,2,0,0
342,10,8,4,1
258,0,2,2,0
177,2,3,1,0
283,2,3,1,0
177,2,2,1,0
482,2,1,2,0
197,7,0,10,1
210,3,2,2,0
171,1,0,5,1
254,0,1,1,0
127,4,3,1,0
340,2,9,8,1
296,0,0,5,0
194,2,5,1,0
183,1,23,3,1
630,6,22,4,1
909,9,12,7,1
208,7,14,10,1
170,0,3,1,0
499,2,19,4,1
92,2,5,1,1
47,2,0,2,0
689,10,27,9,1
169,8,25,9,1
149,1,8,10,1
454,0,0,0,0
428,9,5,2,1
357,9,16,1,1
80,4,19,6,1
710,2,6,7,1
270,2,2,4,0
164,10,12,9,1
691,7,26,10,1
250,10,29,5,1
284,1,3,0,0
239,1,3,6,0
708,3,7,8,1
327,7,0,9,1
637,5,8,10,1
421,2,3,0,0
460,3,15,4,1
154,2,2,2,0
581,0,13,6,1
210,0,0,1,0
161,3,26,8,1
836,3,6,3,1
207,2,9,2,0
68,2,2,0,0
269,3,0,2,0
235,1,3,2,0
82,4,5,3,1
182,2,9,10,1
204,1,8,2,0
672,6,16,7,1
47,0,0,1,0
635,2,9,6,1
134,1,1,3,0
85,8,4,9,1
209,2,0,1,0
149,1,0,0,0
78,5,3,2,0
395,5,3,10,1
134,2,3,2,0
301,9,6,7,1
66,0,0,2,0
181,1,3,0,0
106,7,8,3,1
240,1,0,2,0
450,1,7,0,0
168,0,7,10,1
282,0,1,4,0
195,0,0,1,0
647,3,22,8,1
226,0,2,2,0
190,6,13,6,1
795,4,9,6,1
80,3,1,6,0
180,1,2,0,0
584,9,12,1,1
824,1,0,8,1
80,2,3,0,0
206,3,1,1,0
168,2,1,4,0
517,6,19,4,1
237,3,1,0,0
452,10,3,4,1
27,1,6,2,0
45,0,1,2,0
579,3,9,7,1
487,2,0,0,0
314,9,7,4,1
447,6,21,9,1
111,0,1,6,0
64,2,0,5,0
189,2,3,2,0
109,1,1,1,0
66,3,18,8,1
100,3,27,10,1
614,0,16,5,1
148,2,15,3,1
217,0,1,1,0
513,4,4,1,1
36,2,1,3,0
220,0,2,2,0
394,3,4,3,1
872,7,1,10,1
164,9,25,6,1
116,2,24,1,1
865,5,7,3,1
868,10,16,5,1
146,5,10,5,0
167,0,9,1,0
259,10,20,7,1
168,3,27,5,1
50,2,23,7,1
215,0,0,0,0
72,9,25,3,1
249,5,2,2,0
531,0,6,3,1
151,3,11,4,1
558,6,24,5,1
359,0,0,0,1
957,3,19,8,1
134,8,21,1,1
376,0,7,5,1
132,2,5,6,0
385,4,12,3,1
170,6,6,8,1
244,6,6,3,1
57,7,5,1,1
192,0,29,4,1
223,0,0,2,0
78,0,7,1,0
32,1,2,0,0
82,0,24,6,1
70,7,1,8,1
889,2,24,10,1
190,3,26,2,1
231,4,2,2,0
289,0,1,1,0
132,6,14,7,1
275,2,0,0,0
263,1,0,2,0
113,4,0,0,0
278,5,2,0,0
124,1,2,1,0
279,2,1,1,0
477,10,15,8,1
153,2,3,1,0
778,4,28,6,1
825,3,22,10,1
120,7,5,2,1
157,3,15,3,1
476,0,1,2,0
334,3,27,6,1
375,5,24,1,1
789,10,8,9,1
125,1,27,4,1
281,1,1,2,0
888,7,9,8,1
264,1,2,2,0
92,3,17,5,1
488,8,20,1,1
283,2,0,3,0
260,2,10,2,0
192,10,23,6,1
184,2,3,1,0
935,9,8,3,1
148,2,1,1,0
206,0,2,0,0
170,5,1,0,0
254,1,1,0,0
935,4,10,8,1
459,2,7,8,1
856,6,4,4,1
150,0,3,2,0
217,3,18,9,1
859,8,15,0,1
794,4,1,0,1
99,2,16,9,1
474,8,23,6,1
639,3,17,3,1
153,1,2,0,0
188,2,9,3,0
554,0,28,10,1
197,1,1,4,0
117,2,24,5,1
683,5,0,2,1
349,8,7,2,1
288,4,0,4,0
545,5,23,10,1
405,7,17,8,1
265,0,4,3,0
217,8,24,2,1
191,1,1,2,0
983,5,4,7,1
606,2,21,0,1
167,2,0,1,0
231,9,22,5,1
130,0,0,0,0
834,0,9,6,1
476,10,11,8,1
212,9,26,7,1
82,3,17,6,1
186,5,5,9,1
186,8,1,7,1
152,0,10,2,0
296,2,8,1,0
217,5,0,1,0
76,1,3,2,0
142,9,24,10,1
281,1,2,0,0
294,1,2,1,0
981,3,13,7,1
249,0,3,3,0
388,7,24,2,1
867,1,3,4,1
194,0,3,1,0
316,8,11,8,1
29,1,3,2,0
743,3,4,1,1
243,0,3,2,0
275,0,8,4,0
167,2,12,7,1
364,3,23,6,1
717,5,30,4,1
503,10,13,3,1
858,5,12,3,1
182,2,15,8,1
93,0,0,4,0
530,10,21,7,1
126,4,1,7,1
30,4,1,1,0
84,2,0,3,1
242,3,1,6,0
661,7,14,7,1
471,2,9,6,1
579,9,17,7,1
413,8,24,1,1
51,2,4,2,0
143,1,9,5,1
338,6,25,4,1
192,2,30,7,1
200,1,18,6,1
82,0,2,1,0
298,0,2,0,0
135,5,3,0,0
208,0,3,3,0
350,7,22,7,1
91,3,0,2,0
713,2,3,2,1
205,1,0,2,0
963,5,24,1,1
721,3,5,0,1
118,2,6,8,1
470,1,18,9,1
273,1,0,2,0
665,9,15,8,1
333,3,5,4,1
249,1,3,1,0
678,3,22,3,1
826,7,5,0,1
285,2,6,2,0
199,4,24,8,1
213,2,3,3,0
606,10,17,7,1
343,5,5,0,0
568,8,20,0,1
241,0,9,4,0
105,1,2,2,0
715,6,26,5,1
416,2,0,2,0
855,7,22,4,1
821,8,7,7,1
129,10,1,5,1
231,1,20,5,1
116,10,5,0,1
231,8,6,7,1
93,1,0,2,0
97,0,3,0,0
153,4,3,2,0
99,0,1,1,0
784,4,27,3,1
316,8,22,4,1
371,3,8,6,0
643,5,27,6,1
251,1,1,0,0
474,9,19,7,1
59,0,2,1,0
611,4,21,5,1
695,8,5,3,1
137,3,5,8,1
154,2,1,2,0
359,0,1,6,1
200,0,0,2,0
212,9,6,8,1
154,9,25,10,1
124,1,1,2,0
228,1,3,2,0
123,2,2,0,0
376,4,30,10,1
249,0,3,2,0
39,2,3,2,0
300,2,1,4,0
956,6,5,7,1
84,2,2,2,0
108,4,3,0,0
199,10,15,4,1
236,8,19,7,1
872,5,0,10,1
272,5,20,5,1
177,3,19,4,1
76,1,15,4,1
638,2,13,10,1
676,5,24,5,1
405,1,3,2,0
275,1,1,6,0
415,2,3,1,0
147,1,3,0,0
134,0,2,5,0
107,2,0,2,0
93,1,5,1,0
245,0,2,3,0
832,8,2,10,1
218,2,2,1,0
156,1,0,2,0
736,3,3,9,1
141,2,3,0,0
644,8,15,4,1
690,2,11,8,1
56,1,4,0,0
49,2,3,2,0
114,0,0,0,0
79,2,3,6,0
158,2,4,1,0
95,5,1,0,0
192,7,17,9,1
148,0,0,2,0
655,7,10,1,1
153,0,3,1,0
233,1,2,0,0
311,2,23,9,1
102,1,1,1,0
195,9,0,8,1
257,1,10,1,0
841,9,1,1,1
210,2,6,3,1
57,1,1,2,0
138,0,0,2,0
288,2,2,2,0
316,3,0,7,1
51,3,3,0,0
42,2,3,1,0
66,0,1,0,0
186,1,4,2,0
458,7,16,8,1
402,2,3,2,0
121,1,3,6,0
70,2,3,0,0
740,9,17,3,1
930,0,5,7,1
445,0,3,2,0
314,5,15,7,1
944,7,0,4,1
243,2,2,2,0
45,0,2,0,0
300,9,4,6,1
443,0,0,1,0
244,5,7,3,1
723,6,18,3,1
205,0,1,2,0
705,9,23,9,1
810,7,16,4,1
750,7,4,10,1
773,7,1,4,1
104,1,3,1,0
905,4,5,8,1
374,4,18,8,1
87,1,28,7,1
324,5,25,8,1
630,8,27,5,1
207,4,3,0,0
187,0,8,2,0
118,9,13,10,1
278,2,3,0,0
551,0,21,8,1
832,4,16,1,1
67,1,3,1,0
709,4,0,3,1
967,3,28,3,1
180,1,1,2,0
150,2,3,1,0
273,2,10,2,0
297,4,21,7,1
149,2,8,0,0
196,0,1,2,0
277,2,1,2,0
166,2,1,2,0
938,9,6,3,1
399,5,23,5,1
874,1,1,5,1
923,2,26,10,1
609,8,20,8,1
34,1,1,1,0
76,3,19,7,1
382,5,4,9,1
565,10,14,10,1
889,3,16,8,1
618,6,20,10,1
213,0,4,0,0
228,2,8,0,0
121,0,0,2,0
337,9,25,4,1
288,5,3,0,0
106,2,5,10,1
161,1,3,1,0
360,2,1,5,0
430,1,2,0,0
65,7,28,10,1
465,4,12,4,1
438,3,1,3,1
223,0,0,1,0
764,6,14,10,1
159,2,1,2,0
250,1,4,1,0
62,0,3,3,0
57,1,10,2,0
898,10,25,3,1
307,7,7,3,1
724,6,0,10,1
289,0,14,6,1
734,5,20,5,1
74,1,1,1,0
205,0,0,2,0
83,5,1,2,0
211,4,1,0,0
215,1,5,2,0
121,6,20,9,1
284,1,1,0,0
57,3,24,6,1
593,8,15,3,1
195,0,3,2,0
456,0,5,1,0
112,2,2,0,0
124,2,0,2,0
106,2,0,6,0
282,4,26,6,1
129,2,21,7,1
309,0,26,8,1
880,5,22,5,1
245,5,28,7,1
264,0,0,2,0
120,1,3,0,0
102,6,19,7,1
742,7,6,3,1
97,0,3,0,0
58,3,1,10,1
27,0,2,0,0
891,3,18,4,1
115,6,4,3,1
153,3,30,3,1
382,1,14,0,1
122,2,2,2,0
99,2,2,2,0
237,0,3,2,0
261,0,0,4,0
410,5,22,9,1
137,7,18,7,1
741,3,13,10,1
156,2,2,1,0
232,1,2,2,0
887,10,16,3,1
184,1,2,0,0
1000,3,23,3,1
22,2,0,2,0
166,4,1,2,0
171,1,1,1,0
868,7,5,7,1
849,2,10,5,1
231,4,0,1,0
216,10,24,3,1
832,1,5,3,1
126,2,0,2,0
182,1,1,1,0
663,6,22,9,1
172,0,0,3,0
67,5,2,2,0
172,2,1,1,0
167,3,4,4,1
133,3,20,1,1
657,9,29,3,1
103,1,3,2,0
248,2,1,1,0
162,9,4,10,1
237,3,0,6,0
583,2,10,6,1
818,6,7,0,1
177,0,0,0,0
229,1,0,6,0
106,1,0,0,0
569,10,30,8,1
61,1,2,2,0
799,2,5,8,1
57,2,0,4,0
299,9,2,3,1
250,10,0,4,1
266,0,0,3,0
195,2,5,0,1
80,0,30,2,1
548,5,2,10,1
130,8,18,8,1
432,2,2,4,0
453,1,7,0,1
910,8,4,1,1
106,1,3,0,0
124,2,0,8,1
687,2,23,3,1
845,9,28,5,1
130,2,11,3,1
22,1,3,4,0
107,1,1,0,0
180,3,2,0,0
183,2,9,0,0
184,5,1,2,0
152,5,23,6,1
38,2,0,6,0
240,8,0,9,1
71,1,2,2,0
274,2,2,5,1
350,8,29,6,1
297,2,1,2,0
180,5,7,10,1
254,5,3,2,0
161,0,1,2,0
170,5,21,6,1
125,2,12,3,1
375,2,0,0,0
116,1,5,0,0
206,1,0,1,0
137,2,2,0,0
213,2,1,1,0
394,9,3,8,1
916,6,22,7,1
344,0,3,1,0
106,0,2,1,0
303,2,12,9,1
361,0,3,0,0
679,3,16,5,1
304,0,4,1,0
160,2,2,2,0
268,0,2,2,0
602,10,30,5,1
287,1,3,1,0
473,4,12,9,1
875,8,9,0,1
67,2,0,0,0
281,1,3,0,0
723,2,3,5,1
131,10,16,7,1
86,0,0,1,0
917,6,2,3,1
657,5,28,3,1
32,0,4,2,0
183,3,30,0,1
273,2,0,0,0
217,1,2,1,0
172,1,2,4,0
226,0,25,8,1
197,3,3,2,0
63,2,17,0,1
322,9,22,9,1
114,1,20,3,1
498,10,17,7,1
460,4,0,1,0
192,0,17,7,1
210,3,5,0,0
508,10,25,5,1
910,1,7,4,1
647,2,5,1,1
459,1,0,2,0
179,0,1,2,0
554,5,7,6,1
271,2,4,0,0
165,1,2,1,0
173,0,9,0,0
331,2,1,1,0
884,9,30,10,1
908,5,4,8,1
431,1,1,2,0
252,2,2,2,0
605,7,16,7,1
91,5,4,4,1
632,8,28,8,1
813,9,11,0,1
57,0,1,2,0
160,2,2,0,0
247,1,2,2,0
863,7,17,5,1
468,9,12,7,1
958,2,2,4,1
131,2,6,6,1
476,8,18,9,1
402,1,1,1,0
216,0,2,2,0
65,3,2,7,1
255,2,3,2,0
393,5,1,1,0
433,4,3,10,1
198,1,7,3,0
274,2,0,2,0
31,0,3,2,0
414,3,14,3,1
385,3,25,8,1
125,5,8,3,1
572,0,5,5,1
105,1,2,1,0
270,1,3,0,0
197,0,0,1,0
734,3,22,8,1
188,1,3,0,0
25,1,2,1,0
895,4,22,2,1
453,6,8,7,1
488,2,0,1,0
285,0,3,1,0
220,2,2,1,0
60,1,3,0,0
53,0,1,1,0
198,0,2,2,0
967,9,19,9,1
223,9,30,1,1
682,3,13,10,1
528,4,17,7,1
51,0,2,2,0
167,9,9,4,1
200,2,6,0,0
316,2,13,8,1
74,0,2,0,0
22,2,2,2,0
526,2,24,6,1
74,1,0,2,0
865,4,1,10,1
172,9,2,6,1
202,1,1,2,0
155,0,7,0,0
650,6,17,9,1
161,1,3,1,0
144,0,8,2,0
341,4,8,2,0
667,1,1,7,1
23,0,1,6,0
200,2,2,0,0
51,1,1,0,0
372,9,21,5,1
796,3,25,2,1
980,2,9,9,1
823,4,7,10,1
814,7,7,7,1
277,2,0,5,0
506,4,12,7,1
98,0,8,1,0
321,9,11,6,1
49,0,0,0,0
151,10,8,1,1
491,3,3,1,0
142,0,1,10,1
251,1,0,0,0
277,8,15,3,1
123,0,0,2,0
790,3,24,0,1
264,7,3,9,1
119,2,0,5,0
529,2,30,9,1
785,5,17,4,1
21,0,2,1,0
100,5,3,2,0
88,9,27,6,1
209,3,0,0,0
533,1,30,5,1
1000,0,30,6,1
733,3,0,5,1
159,0,23,0,1
154,4,28,7,1
236,1,10,2,0
427,3,3,0,0
129,6,20,1,1
290,0,9,3,0
101,1,0,0,0
129,1,1,2,0
336,4,2,0,0
79,4,0,2,0
966,10,20,10,1
78,3,3,9,1
130,1,2,5,0
932,6,7,5,1
959,3,13,10,1
960,1,5,3,1
71,2,8,2,0
767,5,4,6,1
58,2,2,6,0
846,2,23,1,1
878,2,4,7,1
182,4,17,0,1
56,0,2,1,0
169,2,0,2,0
615,7,7,7,1
289,3,3,3,0
273,0,1,2,0
493,2,5,1,0
23,0,1,1,0
68,1,1,1,0
214,0,3,1,0
131,5,26,3,1
82,3,1,10,1
558,0,10,5,1
468,1,4,1,0
257,3,1,1,0
55,0,6,2,0
596,9,29,7,1
192,3,13,5,1
288,5,0,1,0
399,1,2,0,0
677,4,25,3,1
250,2,3,1,0
30,2,1,0,0
153,2,29,4,1
218,6,18,9,1
100,1,1,1,0
187,2,3,0,0
670,2,13,10,1
182,2,0,2,0
491,0,2,1,0
217,2,3,2,0
284,2,3,1,0
235,0,0,1,0
170,0,2,1,0
102,2,0,2,0
158,1,2,2,0
866,3,15,3,1
35,5,1,1,0
254,0,0,1,0
200,0,1,1,0
301,1,9,2,0
259,3,3,3,0
80,2,3,0,0
220,2,1,1,0
220,2,0,2,0
253,2,6,2,0
237,0,6,0,0
47,3,1,5,0
294,2,3,5,0
473,1,0,2,0
574,10,21,7,1
369,2,4,6,0
85,6,4,3,1
927,8,9,9,1
990,3,6,5,1
253,2,0,0,0
96,1,0,0,0
682,4,16,3,1
439,5,7,7,1
174,0,3,6,0
126,1,3,0,0
882,9,23,2,1
531,3,25,3,1
149,2,0,0,0
948,8,2,8,1
219,0,2,1,0
689,10,21,1,1
31,5,1,6,0
87,0,3,0,0
836,1,24,8,1
820,10,5,9,1
215,5,2,5,0
396,1,15,0,1
792,3,28,9,1
710,9,14,0,1
809,3,5,10,1
419,1,2,0,0
245,1,3,1,0
159,0,2,1,0
314,6,26,10,1
195,10,25,3,1
233,0,3,2,0
116,5,24,10,1
120,2,21,3,1
198,2,9,2,0
212,2,0,6,0
266,0,0,0,0
263,1,4,2,0
239,4,5,2,1
79,2,8,5,0
429,7,26,10,1
200,1,5,1,0
217,7,23,7,1
97,2,2,0,0
587,6,1,10,1
346,0,2,9,1
154,7,21,8,1
590,5,5,8,1
246,0,1,2,0
343,10,21,9,1
268,0,1,0,0
228,1,0,0,0
182,2,0,5,0
157,0,23,8,1
250,3,7,0,0
575,5,29,3,1
339,5,19,9,1
449,1,3,1,0
822,2,10,8,1
765,1,26,10,1
403,0,2,0,0
553,3,9,10,1
254,8,5,5,1
290,1,2,2,0
291,5,1,0,0
586,10,29,2,1
430,8,18,6,1
185,3,3,3,0
168,4,2,1,0
127,2,2,5,0
